name,entity
Snow Apex Academy,school
Metropolitan Police Commissioner’s Office,police
Matrikeshwar Mahadev,place_of_worship
Tindhara Pathshala,school
Rastriya Naach Ghar,theatre
Jame Mosque,place_of_worship
Bhaktapur Bus Park,bus_station
Bishwa Jyoti Hall,cinema
Himalayan Bank Ltd area,bank
Nepal Investment Bank,bank
Malingo,restaurant
Shaheed Shukra Secondary School,school
Phoenix College,school
NIIT Kathmandu Center,school
जन प्रसासन केन्द्रिय विभाग,school
Jame Market,marketplace
Agriculture Development Bank ( Ratna Park Branch ),bank
Kamalpokhari Apartment,apartment
The Spangle Boarding School,school
Nabil Bank,bank
Yak & Yeti Car Parking,parking
1905 Parking,parking
Ghantaghar,clock
The Societe Lounge & Bar,restaurant
Yak & Yeti Motorcycle Parking,parking
Shanker Dev Campus,college
Mega Bank,bank
ChaarKhaal,prison
Agricultural Development Bank Limited,bank
Nepal Investment Mega Bank Ltd,bank
Dharma Chakra Vihar,place_of_worship
Maple School,school
Swatha Parichyan,hospital
NCC Bank,bank
एनआइसी एशिया बैंक लिमिटेड,bank
women and childrens organization,pulic_office
Pious English Boarding School,school
Global Bank,bank
Kantipur City College,college
KIST College,college
National Integrated College,college
Bal Bagaicha,school
Maitidevi Boarding High School,school
Maitidevi Kindergarten,kindergarten
Mid-Valley International College,college
Sagarmatha Multiple College,college
Siddhi Poly Path Lab,clinic
Suryodaya Jyoti Awasiya English Boarding School,school
Prabhu Bank,bank
Bijaya Smarak Higher Secondary School,school
College of Business Management,college
The Elite's Co-Ed,school
Sayapatri Children Education Academy,school
Bishwa Bhasha Campus,college
Nepal Law Campus,college
Ratna Rajya Campus,college
बुद्ध विहार,place_of_worship
Kathmandu E.N.T. Hospital and Research Center,hospital
Siddhartha Public Academy,school
Islington College-Brit House,university
Tri Chandra Campus,college
Dreamland Public School,school
Kathmandu Model Hospital,hospital
Madrasha Islamiya Secondary School,school
Balmeeki Campus,college
Kathmandu Model Hospital Dental Department,hospital
Kathmandu Model Hospital School of Oral Health,college
Kamyak School,school
Kathmandu Model College,college
Padma Kanya Campus,college
Trinity International College and Higher Secondary School,college
Platinum Management College,college
Himal Hospital,hospital
Aman English Boarding School,school
Asphodel Public school,school
New Don Bosco Academy,school
Maple School,school
Apollo Polyclinic,clinic
Rising Rays Boarding School,school
Islington College,college
Administrative Block,college
Galaxy Public School,school
Capital Hospital,hospital
Naxal Bhagawati,place_of_worship
Little Italy Kathmandu,restaurant
Kasi Restaurant Pvt. Ltd.,restaurant
Rising Mall,toilets
Prabhu Bank,bank
Kathmandu Valley Drinking Water Limited,public_office
IIMS college,college
Ram Sita Temple,place_of_worship
Eurasia Reiyukai,organization
a first friend pre school,kindergarten
Attic Bar & Resturant,restaurant
Swatha Parichyan,hospital
Flashpoint Cyber And Communications,internet_cafe
Gracure Pharma Nepal (P.) Ltd,pharmacy
Krishi Bikash Bank,bank
UNIVERSAL COLLEGE OF MEDICAL SCIENCES & UCMS COLLEGE OF DENTAL SURGERY,hospital
Rural Microfinance development centre ltd,Cooperative
Deoch an Doris,restaurant
Best Food Cafe,fast_food
sunrise bank private ltd.,bank
Prabhu bank,bank
Valley Maternity Nursing Home,hospital
Capital Fast Food,fast_food
Kamaladi Ganesh,place_of_worship
Nepal Telecommunication Authority,public_office
Kathmandu Metropolitan Ward 29,public_office
Radha Krishna Temple,place_of_worship
Kathmandu Metropolitan Office,public_office
Kathmandu City Health Clinic,clinic
sri bajrabir mahankal temple,temple
Jain Temple,place_of_worship
Dharma travels,travels and tours
shemrock school,school
Ganesh Temple,place_of_worship
nepal bangladesh bank ltd.,bank
prime bank,bank
ram mandir,temple
Valley fuel centre,fuel
Tukucha Tarkari Bajar,marketplace
Marie Stopes Centre - Putalisadak,clinic
Rajdhani sweets,restaurant
काठमाडौं भान्सा,restaurant
सोह्रहाते गणेश,place_of_worship
Dent Inn - The Dental Clinic,dentist
Big Cinema,cinema
Pyongyang Okryu Gwan Restaurant,restaurant
Agriculture Development Bank ( Ratna Park Branch ),bank
Kamal Pokhari Police Station,police
नबिल बैंक,bank
सचदेवा संस्थान,school
NCC Bank,bank
Everest Bank Limited,bank
Nepal Investment Bank,atm
Bakery Sweets,fast_food
किष्ट बैंक,atm
Western Union Money Transfer,bureau_de_change
Ktm Metropolitan Ward 32 Office,public_building
बेगीनर्स होम एकेडेमी,school
सिद्धार्थ बैंक,bank
Rastriya Banijya Bank,bank
A-one Saving and Credit Co-operatives,bank
काठमाडौं उपत्यका शिक्षा केन्द्र,school
Jaya Bindavasini Saving and Co-operatives,bank
Mahalaxmi Finance ltd,bank
Nise Pharma,pharmacy
Kumari Bank Ltd,bank
अमेरिकन एजुकेशन फाउण्डेशन,school
New Plaza Kitchen,restaurant
राइजिङ रे बोर्डिङ स्कूल,school
New Don Bosco for Kids,kindergarten
Secured Co-operatives,bank
सिमा सीए वर्गहरू क्लासेस,school
Mainali law office,courthouse
वाइब्रेंट प्रवेश तयारी संस्था,school
CCMA college,college
Pharmaceuticals,pharmacy
Tirupati savings & credit co-operatives,bank
Machhapuchchhre Bank,bank
Nepal Share market and finance,marketplace
NSM merchant banking and investment,bank
Name Cafe and Restaurant,restaurant
Sai baba Pharmacy,pharmacy
Rural Microfinance development centre ltd,bank
Oracle saving & credit co-operatives,bank
Trikon saving & credit co-operatives,bank
Mata Manakamana Arogya Clinic,clinic
Sheetal garden restaurant and bar,restaurant
Goodwill Finance,bank
गणेश मन्दिर,place_of_worship
Universal language and computer institute,school
कोमल गणेश मन्दिर,place_of_worship
बैंक अफ एसिया,bank
Institute of International Management Science,college
International Centre for Academics,college
Cafereena,restaurant
Everest momo,fast_food
Ducky Duck,fast_food
नेपाल इन्भेष्टमेन्ट बैंक लिमिटेड,atm
सनराइज बैंक,atm
ASLI Mandap,social_center
Aabhusan Cafe,cafe
PkG fast-food,fast_food
Bhojan Griha,restaurant
Pizza Hut,restaurant
Shrine,place_of_worship
Advanced Ortho-Dental Clinic,dentist
गणेश मन्दिर,place_of_worship
Coffee Express,cafe
NMB Bank,bank
Baskin-Robbins,ice_cream
Lunch Plaza,fast_food
Riddhi Sidhhi Pharmacy,pharmacy
NMB,atm
Nabil Bank,atm
गणेश मन्दिर,place_of_worship
Dhunge Dhara,drinking_water
Super X ray Clinic,clinic
कुमारी मन्दिर,place_of_worship
Healthy Ortho Dental Clinic,dentist
International School of Tourism & Hotel Management,college
Kathmandu Fast Food,fast_food
Kathmandu Finance Pvt. Ltd,bank
गणेश मन्दिर,place_of_worship
SYLPH Films,studio
Mountain Television,college
Ram Mandir,place_of_worship
Bryan's Grill,restaurant
The Coffee Shop,cafe
विन्टेज,restaurant
Red Carpet,restaurant
Magic Beans,cafe
बेकरी क्याफे,cafe
Padmakanya Vidyashram H.S. School and College,school
कालिकास्थान मन्दिर,place_of_worship
"Alta-Vista, A school of Spanish Language",language_school
Siddhartha Poly Clinic,clinic
मैतीदेवी मन्दिर,place_of_worship
Furniture Trade Link,shop
Public Toilet,toilets
युनाइटेड फाइनान्स प्राइभेट लिमिटेड,bank
मोःमोः किंग रेस्टुरेन्ट,restaurant
Islington Canteen,cafe
कश्मीरी मस्जिद,place_of_worship
"Nepal SBI Bank Limited, Corporate Office",bank
Laxmi Bank Atm,atm
Wifi Food Cafe,restaurant
गौतम बेकरी,cafe
Himalayan Java,cafe
Prem Sekuwa Center and Bhojanalya Center,restaurant
Gyaneshwor Petrol Pump,fuel
Vivanta Zahnklinik,clinic
नर्लिङ गजल,restaurant
पूर्वाधार विकास बैंक,bank
हिमालय जाभा क्याफे,cafe
वेस्टर्न युनियन,money_transfer
मनी ग्राम,bureau_de_change
वेस्टर्न युनियन,bank
प्रदमा एक्सचेन्ज,bureau_de_change
New Show Palace Restaurant,restaurant
एक्सप्रेसो डिलाईट,cafe
मोमो लिसियस,fast_food
रेस्टुरेन्ट मिर्ची,fast_food
Momo King,fast_food
रातको रानी नृत्य बार,nightclub
Marpa Kitchen,restaurant
सेकुरा स्नूकर फास्टो फूड रेस्टुरेन्ट,fast_food
Bank of Kathmandu,bank
Global IME Bank,bank
Goodwill Finance,bank
Laxmi Bank,bank
नबिल बैंक,bank
Siddhartha Bank Limited,bank
Celebration's Banquet,restaurant
चिनियाँ स्टिक फूड क्याफे,restaurant
Mezze by Roadhouse,restaurant
एन.एम.बी. बैंक,bank
प्रभु बैंक,bank
यपागोडा क्याफे,cafe
A-one,restaurant
क्याफे दे जमल,cafe
फेसबुक रेष्टुरेन्ट,restaurant
सिटी डेन्टल क्लिनिक,dentist
Aroma,cafe
कूल शेफ रेष्टुरेन्ट,restaurant
Nepal Music Director Association,community_centre
Library,library
